File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF386ZSF	bigWig	bigWig		signal p-value	GRCh38	ENCSR727VOB	Histone ChIP-seq	/human-donors/ENCDO058TGV/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1	1_4							/files/ENCFF569DGG/, /files/ENCFF141DHN/	306887726	ENCODE Processing Pipeline	38d28c092165577e36155482dec8b652		https://www.encodeproject.org/files/ENCFF386ZSF/@@download/ENCFF386ZSF.bigWig				released	s3://encode-public/2020/08/14/241bc770-7956-4958-97be-63c061fde143/ENCFF386ZSF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/241bc770-7956-4958-97be-63c061fde143/ENCFF386ZSF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF330RQK	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR727VOB	Histone ChIP-seq	/human-donors/ENCDO058TGV/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1	1_4							/files/ENCFF569DGG/, /files/ENCFF141DHN/, /files/ENCFF356LFX/	1465262	ENCODE Processing Pipeline	2161d31f7d61cdc09108997e039c3ce6		https://www.encodeproject.org/files/ENCFF330RQK/@@download/ENCFF330RQK.bed.gz				released	s3://encode-public/2020/08/14/2dfd2d99-fd0c-45e1-b337-d7a849b2d2a4/ENCFF330RQK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/2dfd2d99-fd0c-45e1-b337-d7a849b2d2a4/ENCFF330RQK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF996AXS	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR727VOB	Histone ChIP-seq	/human-donors/ENCDO058TGV/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27me3-human	DNA						2013-07-31	Roadmap				1	1_4							/files/ENCFF330RQK/	2508934	ENCODE Processing Pipeline	47460275ffc94e9aad9ceb98fd11f420		https://www.encodeproject.org/files/ENCFF996AXS/@@download/ENCFF996AXS.bigBed				released	s3://encode-public/2020/08/14/3f33f159-efed-468a-8010-fd68592fa01d/ENCFF996AXS.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/3f33f159-efed-468a-8010-fd68592fa01d/ENCFF996AXS.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF507BZS	bigWig	bigWig		signal p-value	GRCh38	ENCSR240ZWZ	Histone ChIP-seq	/human-donors/ENCDO670CKN/	UBERON:0002048	lung	tissue	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF859BWX/, /files/ENCFF368IFP/	584039520	ENCODE Processing Pipeline	d5289ac33022b9bc939659539f6a298d		https://www.encodeproject.org/files/ENCFF507BZS/@@download/ENCFF507BZS.bigWig				released	s3://encode-public/2020/08/14/b6052ab1-3131-4cce-92c0-1c27c9dde495/ENCFF507BZS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/b6052ab1-3131-4cce-92c0-1c27c9dde495/ENCFF507BZS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF212BPA	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR240ZWZ	Histone ChIP-seq	/human-donors/ENCDO670CKN/	UBERON:0002048	lung	tissue	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF859BWX/, /files/ENCFF356LFX/, /files/ENCFF368IFP/	2790527	ENCODE Processing Pipeline	cb850aa00094761d6c86403185c44448		https://www.encodeproject.org/files/ENCFF212BPA/@@download/ENCFF212BPA.bed.gz				released	s3://encode-public/2020/08/14/935ef61d-5d5b-4c4d-aaa1-8f35651e24f6/ENCFF212BPA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/935ef61d-5d5b-4c4d-aaa1-8f35651e24f6/ENCFF212BPA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF895QQW	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR240ZWZ	Histone ChIP-seq	/human-donors/ENCDO670CKN/	UBERON:0002048	lung	tissue	Homo sapiens										H3K36me3-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF212BPA/	5604255	ENCODE Processing Pipeline	675939f3b74cc2e4e6263d22705e4db8		https://www.encodeproject.org/files/ENCFF895QQW/@@download/ENCFF895QQW.bigBed				released	s3://encode-public/2020/08/14/ad63d4de-5017-4428-bfaf-f106ab288c71/ENCFF895QQW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/ad63d4de-5017-4428-bfaf-f106ab288c71/ENCFF895QQW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	low read length	insufficient read depth, control insufficient read depth	
ENCFF062ZIV	bigWig	bigWig		signal p-value	GRCh38	ENCSR500GXT	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF054JXD/, /files/ENCFF673HIK/	515609958	ENCODE Processing Pipeline	89b73ccfd5a0080e6e0ea1571d3c83f5		https://www.encodeproject.org/files/ENCFF062ZIV/@@download/ENCFF062ZIV.bigWig				released	s3://encode-public/2020/08/14/0afcd8b7-42d5-4e03-9428-6b05d5bf63f7/ENCFF062ZIV.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/0afcd8b7-42d5-4e03-9428-6b05d5bf63f7/ENCFF062ZIV.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length		
ENCFF526QUJ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR500GXT	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF054JXD/, /files/ENCFF673HIK/, /files/ENCFF356LFX/	754113	ENCODE Processing Pipeline	1ceb900e51b9361b86dd20b648c034b1		https://www.encodeproject.org/files/ENCFF526QUJ/@@download/ENCFF526QUJ.bed.gz				released	s3://encode-public/2020/08/14/d1c757f7-9238-4838-b1bd-b73279b04d7e/ENCFF526QUJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/d1c757f7-9238-4838-b1bd-b73279b04d7e/ENCFF526QUJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length		
ENCFF714OGX	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR500GXT	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K4me3-human	DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF526QUJ/	1764986	ENCODE Processing Pipeline	0c191ab8dada30d48d06ea590b71780e		https://www.encodeproject.org/files/ENCFF714OGX/@@download/ENCFF714OGX.bigBed				released	s3://encode-public/2020/08/14/daf6591f-9a60-43f7-984a-54509259cdb9/ENCFF714OGX.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/daf6591f-9a60-43f7-984a-54509259cdb9/ENCFF714OGX.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length		
ENCFF652JPJ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR550WUX	Histone ChIP-seq	/human-donors/ENCDO478OMA/	UBERON:0002048	lung	tissue	Homo sapiens										H3K27ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF356LFX/, /files/ENCFF877HVL/, /files/ENCFF344SHY/	1803921	ENCODE Processing Pipeline	54eda8e29dc97f01619b983a7253751f		https://www.encodeproject.org/files/ENCFF652JPJ/@@download/ENCFF652JPJ.bed.gz				released	s3://encode-public/2020/08/14/8a85bcbb-edb4-4f06-899a-80095ef22b30/ENCFF652JPJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/14/8a85bcbb-edb4-4f06-899a-80095ef22b30/ENCFF652JPJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, inconsistent platforms, low read depth		
